episode,action_0,action_1,action_2,action_3,action_4
749,38,87,177,66,82
750,51,93,168,72,66
751,33,68,188,86,75
752,25,73,139,51,72
753,15,52,224,67,92
754,23,79,199,83,66
755,37,118,144,88,63
756,45,95,153,86,71
757,48,102,167,80,53
758,41,105,164,68,72
759,52,108,147,66,77
760,36,108,163,81,62
761,47,108,158,75,62
762,43,88,157,79,83
763,28,87,185,76,74
764,7,32,115,39,257
765,47,115,144,83,61
766,52,105,151,88,54
767,43,101,157,81,68
768,43,58,147,74,128
769,39,119,142,80,70
770,24,72,154,60,140
771,35,92,138,77,108
772,10,14,43,21,31
773,8,49,147,42,204
774,21,94,93,70,95
775,38,104,142,80,86
776,30,67,145,74,134
777,4,56,198,48,144
778,16,83,144,59,148
779,58,115,126,90,61
780,31,78,168,84,89
781,14,59,124,60,193
782,5,9,50,26,38
783,38,98,141,91,82
784,18,85,173,64,110
785,31,107,142,80,90
786,40,83,168,76,83
787,33,56,169,73,119
788,33,60,145,87,125
789,37,108,156,83,66
790,36,76,176,85,77
791,49,93,153,80,75
792,34,53,166,75,122
793,24,95,192,74,65
794,33,77,154,73,113
795,20,90,197,61,82
796,30,64,176,78,102
797,17,64,174,53,142
798,16,74,201,55,104
799,48,120,115,91,76
800,8,25,94,34,289
801,36,121,133,77,83
802,5,81,234,63,67
803,18,109,191,56,76
804,47,121,127,86,69
805,48,129,122,79,72
806,50,120,116,88,76
807,36,64,173,66,111
808,39,102,139,72,98
809,45,103,154,66,82
810,18,108,176,81,67
811,29,109,166,73,73
812,27,80,201,56,86
813,3,69,209,51,118
814,14,90,198,65,83
815,16,104,207,63,60
816,27,87,186,75,75
817,36,125,162,80,47
818,15,67,218,46,104
819,10,86,217,63,74
820,14,75,219,66,76
821,45,100,166,78,61
822,39,96,187,80,48
823,27,79,211,76,57
824,30,104,176,81,59
825,19,60,267,56,48
826,41,61,173,66,109
827,54,104,165,69,58
828,45,100,154,102,49
829,31,91,174,80,65
830,13,60,250,61,66
831,36,103,161,86,64
832,36,62,187,77,88
833,5,39,250,47,109
834,31,95,176,68,80
835,35,47,158,55,155
836,10,72,210,41,117
837,52,86,143,77,92
838,10,50,242,56,92
839,35,105,143,66,101
840,20,62,171,90,107
841,22,85,190,87,66
842,23,48,169,68,142
843,32,108,150,90,70
844,34,96,163,104,53
845,12,64,141,48,185
846,32,107,135,102,74
847,26,59,79,64,43
848,24,57,89,67,33
849,27,74,173,115,61
850,21,86,158,85,100
851,28,72,171,97,82
852,47,108,137,90,68
853,38,67,144,77,92
854,27,55,87,92,189
855,28,73,96,118,135
856,48,89,157,114,42
857,38,70,134,88,120
858,40,70,140,107,93
859,22,53,115,76,184
860,53,101,124,112,60
861,24,68,103,63,32
862,22,85,145,110,88
863,31,64,98,95,90
864,29,86,139,101,95
865,22,80,180,105,63
866,36,113,125,121,55
867,24,44,100,55,123
868,27,46,164,86,127
869,39,91,157,107,56
870,44,77,142,90,54
871,22,81,186,98,63
872,24,106,151,114,55
873,31,97,171,91,60
874,20,91,169,106,64
875,32,89,160,106,63
876,18,89,197,100,46
877,30,100,181,90,49
878,5,30,53,33,14
