episode,action_0,action_1,action_2,action_3,action_4
781,38,58,163,106,85
782,15,40,124,74,51
783,18,55,216,92,69
784,24,60,175,111,80
785,39,47,171,111,82
786,54,74,129,109,84
787,22,56,191,112,69
788,25,57,180,115,73
789,28,48,193,104,77
790,42,54,161,100,93
791,30,59,176,112,73
792,25,54,179,121,71
793,26,54,168,110,92
794,23,31,95,51,43
795,20,52,141,81,43
796,11,41,237,96,65
797,36,52,166,115,81
798,25,48,179,118,80
799,12,31,214,118,75
800,20,47,222,103,58
801,22,50,190,120,68
802,28,59,178,115,70
803,27,58,181,113,71
804,4,28,288,84,46
805,7,25,277,99,42
806,13,36,234,98,69
807,15,35,197,85,50
808,25,45,213,101,66
809,36,67,173,95,79
810,38,68,168,99,77
811,33,54,181,109,73
812,22,40,220,89,79
813,23,59,151,119,98
814,29,53,163,114,91
815,17,25,51,28,30
816,21,49,221,85,74
817,24,47,207,103,69
818,49,66,155,108,72
819,38,62,165,95,90
820,17,55,205,105,68
821,30,48,183,107,82
822,11,38,239,95,67
823,30,51,179,114,76
824,41,61,174,100,74
825,31,61,199,93,66
826,19,39,134,56,56
827,13,45,244,80,68
828,37,55,187,83,88
829,29,59,185,89,88
830,31,62,170,93,94
831,20,55,210,85,80
832,29,72,166,102,81
833,42,71,145,104,88
834,19,27,79,43,34
835,26,53,181,96,94
836,46,53,175,89,87
837,33,50,117,81,63
838,35,67,152,101,95
839,44,61,172,88,85
840,39,69,192,72,78
841,32,65,190,94,69
842,31,69,193,82,75
843,25,54,233,67,71
844,25,54,223,61,87
845,36,70,156,105,83
846,43,71,156,90,90
847,21,62,159,69,58
848,26,80,159,109,76
849,53,78,148,88,83
850,31,65,178,99,77
851,43,82,143,96,86
852,31,60,178,92,89
853,13,55,233,71,78
854,21,47,238,60,84
855,41,74,174,87,74
856,22,36,242,90,60
857,22,64,221,81,62
858,35,72,173,106,64
859,35,71,196,81,67
860,39,69,176,91,75
861,38,66,175,90,81
862,20,45,113,44,34
863,30,69,202,76,73
864,54,83,152,82,79
865,34,108,157,71,80
866,53,78,141,90,88
867,40,66,162,100,82
868,60,82,144,90,74
869,39,79,147,104,81
870,62,97,127,78,86
871,67,90,127,82,84
872,27,96,151,99,77
873,43,66,175,85,81
874,63,70,125,97,95
875,37,75,186,84,68
876,57,68,145,82,98
877,42,71,166,87,84
878,50,81,148,96,75
879,69,70,131,92,88
880,61,79,130,81,99
881,27,70,206,70,77
882,32,64,180,88,86
883,48,62,152,115,73
884,40,84,184,91,51
885,21,70,166,64,60
886,37,57,169,97,90
887,26,69,216,72,67
888,46,70,169,89,76
889,7,70,244,68,61
890,54,79,147,78,92
891,29,60,207,85,69
892,35,56,208,86,65
893,76,68,143,80,83
894,46,90,135,88,91
895,34,58,216,77,65
896,38,64,183,84,81
897,51,80,143,95,81
898,52,94,137,89,78
899,53,69,160,90,78
900,70,84,121,92,83
901,86,76,106,102,80
902,51,90,137,84,88
903,54,84,135,92,85
904,36,78,165,85,86
905,35,92,146,90,87
906,48,77,153,92,80
907,52,98,142,73,85
908,42,63,172,94,79
909,51,67,167,91,74
910,48,74,154,103,71
911,64,52,163,89,82
912,41,66,167,102,74
913,45,78,143,85,99
914,51,75,156,98,70
915,55,68,147,91,89
916,48,75,155,101,71
917,37,64,183,91,75
918,28,59,176,100,87
919,32,58,181,99,80
920,9,25,258,89,69
921,9,23,305,63,50
922,40,49,132,78,55
923,11,46,230,96,67
924,26,57,218,81,68
925,20,33,136,43,42
926,13,28,301,60,48
927,29,45,241,61,74
928,31,42,212,89,76
929,32,63,185,83,87
930,32,55,198,74,91
931,47,45,156,119,83
932,45,65,162,87,91
933,26,61,179,100,84
934,42,74,146,107,81
935,28,58,169,104,91
936,41,72,166,83,88
937,32,50,179,99,90
938,31,75,160,103,81
939,40,56,177,105,72
940,25,55,184,87,99
941,19,32,238,84,77
942,36,68,148,108,90
943,28,51,208,98,65
944,47,64,153,89,97
945,26,60,171,84,109
946,47,65,150,107,81
947,18,52,207,104,69
948,25,50,192,92,91
949,35,67,160,105,83
950,23,36,88,63,54
951,23,43,97,65,54
952,14,35,231,91,79
953,9,45,231,84,81
954,42,49,161,113,85
955,24,62,158,119,87
956,42,59,164,100,85
957,54,72,109,121,94
958,73,84,114,93,86
959,39,58,166,104,83
960,48,80,143,98,81
961,63,82,105,105,95
962,64,85,113,98,90
963,52,73,120,100,98
964,31,59,166,114,80
965,41,72,142,115,80
966,49,66,142,109,84
967,40,77,141,103,89
968,46,68,140,102,94
969,58,75,137,94,86
970,31,62,143,112,102
971,51,76,138,92,93
972,44,72,137,104,93
973,44,70,136,101,99
974,32,56,166,104,92
975,60,70,130,106,84
976,35,81,154,98,82
977,49,65,126,111,99
978,29,50,184,91,96
979,38,49,157,91,115
980,32,59,174,102,83
981,46,69,159,85,91
982,29,61,167,99,94
983,23,49,194,98,86
984,29,37,195,93,96
985,40,52,176,103,79
986,29,49,152,83,82
987,27,48,202,84,89
988,33,48,180,97,92
989,20,41,187,93,109
990,35,45,180,91,99
991,29,43,189,81,108
992,16,34,220,68,112
993,61,78,138,70,103
994,53,60,146,94,97
995,50,58,137,103,102
996,28,28,170,84,140
997,61,65,127,87,110
998,53,57,129,96,115
999,62,58,121,90,119
1000,26,52,161,85,126
1001,23,43,159,81,144
1002,40,59,134,94,123
1003,18,47,177,78,130
1004,31,33,144,78,164
1005,67,65,121,93,104
1006,39,47,144,111,109
1007,35,43,170,76,126
1008,49,59,132,85,125
1009,51,72,123,82,122
1010,66,60,120,94,110
1011,25,37,164,85,139
1012,43,51,148,97,111
1013,50,57,144,102,97
1014,69,65,124,83,109
1015,42,47,154,96,111
1016,42,57,150,87,114
1017,72,67,103,108,100
1018,74,60,126,94,96
1019,51,43,139,90,127
1020,65,64,135,85,101
1021,53,47,149,96,105
1022,60,62,119,103,106
1023,75,85,107,91,92
1024,46,60,137,99,108
1025,51,62,114,100,123
1026,96,78,105,64,107
1027,35,38,170,90,117
1028,55,49,141,95,110
1029,38,43,158,99,112
1030,60,70,128,90,102
1031,59,61,131,92,107
1032,46,62,159,73,110
1033,67,67,119,107,90
1034,71,80,107,95,97
1035,52,60,132,102,104
1036,41,47,148,114,100
1037,65,65,132,85,103
1038,70,68,126,100,86
1039,47,48,137,102,116
1040,79,96,115,91,69
1041,95,88,92,93,82
1042,67,83,103,96,101
1043,94,81,100,85,90
1044,48,54,147,80,121
1045,54,60,144,82,110
1046,79,78,100,109,84
1047,58,76,139,91,86
1048,48,51,153,94,104
1049,67,71,106,106,100
1050,94,81,92,103,80
1051,33,41,167,93,116
1052,57,66,130,105,92
1053,54,55,152,95,94
1054,42,34,164,110,100
1055,55,50,129,105,111
1056,47,43,145,119,96
1057,57,46,142,103,102
1058,39,36,169,101,105
1059,72,56,137,106,79
1060,48,47,144,113,98
1061,62,53,150,88,97
1062,53,45,138,134,80
1063,86,67,103,105,89
1064,48,41,143,122,96
1065,36,33,158,110,113
1066,40,32,154,103,121
1067,76,68,130,95,81
1068,88,63,119,95,85
1069,82,89,108,99,72
1070,88,66,123,85,88
1071,100,64,121,83,82
1072,59,61,124,105,101
1073,58,45,153,98,96
1074,62,53,145,106,84
1075,56,50,169,93,82
