episode,action_0,action_1,action_2,action_3,action_4
890,24,56,215,83,72
891,22,62,206,87,73
892,28,67,175,89,91
893,37,83,155,87,88
894,29,54,184,90,93
895,18,53,211,84,84
896,30,69,173,95,83
897,22,48,207,81,92
898,33,49,171,103,94
899,31,49,190,95,85
900,28,50,182,105,85
901,55,75,136,86,98
902,32,57,163,116,82
903,40,68,151,95,96
904,38,74,164,92,82
905,37,50,182,93,88
906,36,68,164,97,85
907,36,57,83,63,39
908,25,41,187,97,100
909,29,43,174,102,102
910,16,46,204,85,99
911,27,42,188,90,103
912,21,49,190,94,96
913,28,65,148,106,103
914,38,58,179,90,85
915,34,66,168,84,98
916,38,78,151,90,93
917,58,96,130,72,94
918,46,99,110,97,98
919,37,60,159,87,107
920,32,46,180,87,105
921,40,41,165,112,92
922,50,68,149,90,93
923,37,64,147,101,101
924,41,91,135,97,86
925,30,77,168,85,90
926,25,45,215,76,89
927,26,43,208,86,87
928,18,57,206,102,67
929,25,52,196,106,71
930,24,65,176,80,105
931,35,73,155,99,88
932,27,73,163,102,85
933,29,63,210,86,62
934,39,82,171,76,82
935,10,44,236,67,93
936,32,82,178,85,73
937,14,48,247,85,56
938,21,69,206,85,69
939,28,92,170,102,58
940,21,55,211,90,73
941,12,49,269,64,56
942,10,76,244,69,51
943,11,21,309,69,40
944,13,61,229,86,61
945,15,48,188,70,50
946,11,30,246,94,69
947,20,30,247,80,73
948,11,27,271,93,48
949,22,40,249,76,63
950,25,71,182,95,77
951,21,49,228,85,67
952,25,52,212,81,80
953,27,53,211,97,62
954,35,85,158,99,73
955,27,63,179,80,73
956,25,35,209,94,87
957,36,68,170,88,88
958,25,60,194,87,84
959,22,58,179,92,99
960,29,65,184,76,96
961,31,65,169,106,79
962,40,78,143,104,85
963,36,55,183,95,81
964,29,51,186,111,73
965,27,81,169,105,68
966,39,71,157,109,74
967,27,50,204,100,69
968,41,54,148,87,87
969,28,60,185,98,79
970,37,57,186,97,73
971,33,77,158,104,78
972,35,85,164,89,77
973,23,54,195,94,84
974,29,55,205,91,70
975,49,80,144,97,80
976,42,85,149,101,73
977,43,71,143,103,90
978,34,42,178,104,92
979,25,46,185,93,101
980,26,43,196,93,92
981,43,78,173,77,79
982,39,95,148,84,84
983,12,42,232,80,84
984,19,29,237,85,80
985,27,55,165,91,112
986,14,30,208,88,110
987,21,51,201,86,91
988,60,100,122,90,78
989,15,47,209,84,95
990,27,90,153,72,108
991,33,109,126,95,87
992,7,32,103,46,49
993,33,81,160,90,86
994,54,88,125,85,98
995,35,72,158,95,90
996,14,36,200,93,107
997,35,67,151,80,117
998,35,75,140,101,99
999,39,95,128,85,103
1000,24,61,144,100,121
1001,34,61,146,88,121
1002,32,67,140,100,111
1003,12,41,189,85,123
1004,18,55,189,75,113
1005,45,98,143,84,80
1006,25,70,167,94,94
1007,21,54,157,108,110
1008,44,83,126,111,86
